"forecastdate","lst","height","z","win_s","win_d","rh","tc","td"
"2018-01-01 20:00:00","2018-01-01 20:00:00",1000,218.45,7.1,334.89,60.85,6.91,-0.16
"2018-01-01 20:00:00","2018-01-01 21:00:00",1000,220,7.41,333.98,62.15,6.97,0.19
"2018-01-01 20:00:00","2018-01-01 22:00:00",1000,222.44,7.99,336.96,64.98,7.15,0.96
"2018-01-01 20:00:00","2018-01-01 23:00:00",1000,223.45,7.97,335.04,68.19,7.39,1.87
"2018-01-01 20:00:00","2018-01-02 00:00:00",1000,222.75,7.74,331.22,70.42,7.67,2.58
"2018-01-01 20:00:00","2018-01-02 01:00:00",1000,222.66,7.83,327.56,71.7,8.01,3.15
"2018-01-01 20:00:00","2018-01-02 02:00:00",1000,218.97,7.53,324.31,72.81,8.22,3.58
"2018-01-01 20:00:00","2018-01-02 03:00:00",1000,219.88,7.41,323.01,72.86,8.44,3.79
"2018-01-01 20:00:00","2018-01-02 04:00:00",1000,218.64,7.3,319.48,74.06,8.7,4.27
"2018-01-01 20:00:00","2018-01-02 05:00:00",1000,219.52,7.59,314.99,75.22,8.93,4.71
"2018-01-01 20:00:00","2018-01-02 06:00:00",1000,218.76,7.22,312.43,76.24,9.12,5.09
"2018-01-01 20:00:00","2018-01-02 07:00:00",1000,219.54,7.38,311.91,77.43,9.3,5.49
"2018-01-01 20:00:00","2018-01-02 08:00:00",1000,218.52,7.13,309.57,78.86,9.48,5.92
"2018-01-01 20:00:00","2018-01-02 09:00:00",1000,216.83,6.91,310.24,78.86,9.82,6.25
"2018-01-01 20:00:00","2018-01-02 10:00:00",1000,215.56,6.71,310.3,79.16,10.07,6.55
"2018-01-01 20:00:00","2018-01-02 11:00:00",1000,213.46,6.81,310.19,79.33,10.33,6.83
"2018-01-01 20:00:00","2018-01-02 12:00:00",1000,211.47,6.53,312.21,81.01,10.48,7.27
"2018-01-01 20:00:00","2018-01-02 13:00:00",1000,208.92,6,316.93,82.29,10.57,7.59
"2018-01-01 20:00:00","2018-01-02 14:00:00",1000,207.31,5.32,325.63,84.59,10.48,7.91
"2018-01-01 20:00:00","2018-01-02 15:00:00",1000,206.95,5.44,329.2,85.2,10.46,7.99
"2018-01-01 20:00:00","2018-01-02 16:00:00",1000,208.93,5.48,335.52,86.9,10.26,8.08
"2018-01-01 20:00:00","2018-01-02 17:00:00",1000,210.22,5.46,340.86,90.03,9.88,8.23
"2018-01-01 20:00:00","2018-01-02 18:00:00",1000,210.83,5.65,348.19,94.13,9.53,8.53
"2018-01-01 20:00:00","2018-01-02 19:00:00",1000,213.02,5.97,348.03,94.45,9.53,8.58
"2018-01-01 20:00:00","2018-01-02 20:00:00",1000,215.25,5.69,352.49,94.32,9.57,8.6
"2018-01-01 20:00:00","2018-01-02 21:00:00",1000,216.72,6.28,358.75,93.89,9.58,8.54
"2018-01-01 20:00:00","2018-01-02 22:00:00",1000,214.65,6.26,359.58,95.94,9.44,8.72
"2018-01-01 20:00:00","2018-01-02 23:00:00",1000,215.66,6.47,4.03,96.19,9.47,8.79
"2018-01-01 20:00:00","2018-01-03 00:00:00",1000,217.35,6.5,5.34,96.76,9.42,8.84
"2018-01-01 20:00:00","2018-01-03 01:00:00",1000,218.5,6.52,15.11,99.27,9.29,9.09
"2018-01-01 20:00:00","2018-01-03 02:00:00",1000,220.62,7.33,24.67,97.1,8.91,8.39
"2018-01-01 20:00:00","2018-01-03 03:00:00",1000,223.72,8.16,28.84,94.74,8.91,8.01
"2018-01-01 20:00:00","2018-01-03 04:00:00",1000,224.78,8.31,36.49,97.02,8.77,8.25
"2018-01-01 20:00:00","2018-01-03 05:00:00",1000,227.32,8.82,30.43,88.1,8.81,6.86
"2018-01-01 20:00:00","2018-01-03 06:00:00",1000,229.52,9.56,36.03,94.7,8.65,7.75
"2018-01-01 20:00:00","2018-01-03 07:00:00",1000,231.62,10.09,35.56,90.43,8.64,7.07
"2018-01-01 20:00:00","2018-01-03 08:00:00",1000,234.16,10.8,37.67,88.97,8.45,6.65
"2018-01-01 20:00:00","2018-01-03 09:00:00",1000,235.96,10.58,38.95,81.85,8.26,5.27
"2018-01-01 20:00:00","2018-01-03 10:00:00",1000,233.78,10.84,41.2,85.65,7.93,5.59
"2018-01-01 20:00:00","2018-01-03 11:00:00",1000,233.77,10.37,43.21,83.64,7.86,5.19
"2018-01-01 20:00:00","2018-01-03 12:00:00",1000,233.23,10.67,47.58,82.99,7.87,5.08
"2018-01-01 20:00:00","2018-01-03 13:00:00",1000,231.21,10.77,44.78,87.85,7.63,5.67
"2018-01-01 20:00:00","2018-01-03 14:00:00",1000,230.51,10.37,45.43,96.35,7.14,6.53
"2018-01-01 20:00:00","2018-01-03 15:00:00",1000,231.51,11.01,46.53,90.97,7.01,5.55
"2018-01-01 20:00:00","2018-01-03 16:00:00",1000,236.7,10.88,45.2,87.34,6.71,4.68
"2018-01-01 20:00:00","2018-01-03 17:00:00",1000,239.07,11.43,46.55,88.5,6.33,4.49
"2018-01-01 20:00:00","2018-01-03 18:00:00",1000,240.76,11.33,45.76,89.51,5.95,4.29
"2018-01-01 20:00:00","2018-01-03 19:00:00",1000,243.55,11.08,44.76,89.82,5.79,4.17
"2018-01-01 20:00:00","2018-01-03 20:00:00",1000,246.1,11.15,45.28,89.92,5.65,4.06
"2018-01-01 20:00:00","2018-01-03 21:00:00",1000,246.74,9.93,45.92,93.58,5.37,4.34
