event,event_id,eventmerge,usrid,time,event_duration,event_id
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 11:59:35.415,null,shumeiInitBegin
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 11:59:35.421,null,shumeiInitBegin
AppEvent,shumeiInitEnd,AppEvent-shumeiInitEnd,c00389049878,2020-12-29 11:59:35.43,null,shumeiInitEnd
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 11:59:35.461,null,fileLocation
AppEvent,localVIDBeforeEncrypt,AppEvent-localVIDBeforeEncrypt,c00389049878,2020-12-29 11:59:35.492,null,localVIDBeforeEncrypt
AppEvent,localVIDAfterEncrypt,AppEvent-localVIDAfterEncrypt,c00389049878,2020-12-29 11:59:35.498,null,localVIDAfterEncrypt
AppEvent,close_start_page,AppEvent-close_start_page,c00389049878,2020-12-29 11:59:35.503,null,close_start_page
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 11:59:35.529,null,fileLocation
$AppStart,null,null,c00389049878,2020-12-29 11:59:35.54,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 11:59:35.601,null,collectDeviceFinger
AppEvent,localDeviceFingerBeforeEncrypt,AppEvent-localDeviceFingerBeforeEncrypt,c00389049878,2020-12-29 11:59:35.736,null,localDeviceFingerBeforeEncrypt
AppEvent,localDeviceFingerAfterEncrypt,AppEvent-localDeviceFingerAfterEncrypt,c00389049878,2020-12-29 11:59:35.751,null,localDeviceFingerAfterEncrypt
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 11:59:35.88,null,JwfwLocAndCm
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 11:59:35.996,null,requestSIDSuccess
AppPageView,WelcomeView,AppPageView-WelcomeView,c00389049878,2020-12-29 11:59:36.047,501.0,WelcomeView
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 11:59:36.083,null,collectDeviceFingerSuccess
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 11:59:36.094,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 11:59:36.101,null,collectDeviceFingerFailed
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 11:59:36.891,null,JwfwLocAndCm
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 11:59:36.943,null,recUpdate
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 11:59:36.966,null,recUpdate
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 11:59:39.29,3097.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 11:59:39.304,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 11:59:39.347,3.0,null
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 11:59:42.429,null,shumeiInitBegin
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 11:59:42.439,null,shumeiInitBegin
AppEvent,shumeiInitEnd,AppEvent-shumeiInitEnd,c00389049878,2020-12-29 11:59:42.454,null,shumeiInitEnd
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 13:46:17.378,null,shumeiInitBegin
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 13:46:17.384,null,shumeiInitBegin
AppEvent,shumeiInitEnd,AppEvent-shumeiInitEnd,c00389049878,2020-12-29 13:46:17.392,null,shumeiInitEnd
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 13:46:17.414,null,fileLocation
AppEvent,localVIDBeforeEncrypt,AppEvent-localVIDBeforeEncrypt,c00389049878,2020-12-29 13:46:17.443,null,localVIDBeforeEncrypt
AppEvent,localVIDAfterEncrypt,AppEvent-localVIDAfterEncrypt,c00389049878,2020-12-29 13:46:17.448,null,localVIDAfterEncrypt
AppEvent,close_start_page,AppEvent-close_start_page,c00389049878,2020-12-29 13:46:17.453,null,close_start_page
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 13:46:17.48,null,fileLocation
$AppStart,null,null,c00389049878,2020-12-29 13:46:17.492,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 13:46:17.554,null,collectDeviceFinger
AppEvent,localDeviceFingerBeforeEncrypt,AppEvent-localDeviceFingerBeforeEncrypt,c00389049878,2020-12-29 13:46:17.614,null,localDeviceFingerBeforeEncrypt
AppEvent,localDeviceFingerAfterEncrypt,AppEvent-localDeviceFingerAfterEncrypt,c00389049878,2020-12-29 13:46:17.637,null,localDeviceFingerAfterEncrypt
AppPageView,WelcomeView,AppPageView-WelcomeView,c00389049878,2020-12-29 13:46:18.006,507.0,WelcomeView
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 13:46:18.048,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 13:46:18.056,null,collectDeviceFingerFailed
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 13:46:18.161,null,collectDeviceFingerSuccess
AppEvent,guideCancel_NewYearAct,AppEvent-guideCancel_NewYearAct,c00389049878,2020-12-29 13:46:18.978,null,guideCancel_NewYearAct
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 13:46:20.049,null,requestSIDSuccess
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 13:46:20.095,null,JwfwLocAndCm
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 13:46:20.634,null,recUpdate
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 13:46:20.64,null,recUpdate
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 13:46:21.329,3149.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 13:46:21.405,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 13:46:21.733,4.0,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 13:46:23.064,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 13:46:23.081,null,collectDeviceFingerFailed
$AppStart,null,null,c00389049878,2020-12-29 14:18:20.196,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 14:18:20.223,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 14:18:20.765,null,JwfwLocAndCm
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 14:18:20.99,null,requestSIDSuccess
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 14:18:21.181,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 14:18:26.839,6619.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 14:18:26.89,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 14:18:26.932,6.0,null
$AppStart,null,null,c00389049878,2020-12-29 14:25:09.682,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 14:25:09.701,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 14:25:10.184,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 14:25:10.604,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 14:25:11.411,1709.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 14:25:11.444,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 14:25:11.513,1.0,null
$AppStart,null,null,c00389049878,2020-12-29 14:32:01.383,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 14:32:01.411,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 14:32:01.782,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 14:32:02.131,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 14:32:41.503,40095.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 14:32:41.561,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 14:32:41.604,40.0,null
$AppStart,null,null,c00389049878,2020-12-29 14:36:19.891,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 14:36:19.927,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 14:36:20.372,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 14:36:20.624,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 14:36:22.745,2817.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 14:36:22.766,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 14:36:22.806,2.0,null
$AppStart,null,null,c00389049878,2020-12-29 14:36:41.387,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 14:36:41.535,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 14:36:41.858,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 14:36:42.094,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 14:36:42.18,642.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 14:36:42.194,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 14:36:42.255,0.0,null
$AppStart,null,null,c00389049878,2020-12-29 15:00:48.583,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 15:00:48.605,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 15:00:49.008,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 15:00:49.235,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 15:00:53.317,4709.0,MainPg
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 15:00:53.329,null,meManageCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 15:01:45.586,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 15:01:45.637,57.0,null
$AppStart,null,null,c00389049878,2020-12-29 15:02:16.767,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 15:02:16.8,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 15:02:17.426,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 15:02:17.524,null,collectDeviceFingerSuccess
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 15:02:17.885,null,mainPageCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 15:02:19.681,1801.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 15:02:19.701,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 15:02:19.74,2.0,null
$AppStart,null,null,c00389049878,2020-12-29 16:12:19.75,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 16:12:19.774,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 16:12:20.14,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 16:12:20.358,null,collectDeviceFingerSuccess
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 16:12:20.407,null,requestSIDSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 16:12:20.706,932.0,MainPg
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 16:12:20.717,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.009,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.017,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.622,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:21.634,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:22.288,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 16:12:22.303,null,FortuneHideCardBalaCl
FortuneFunctionCl,null,null,c00389049878,2020-12-29 16:12:39.075,null,null
FortuneFunctionCl,null,null,c00389049878,2020-12-29 16:12:39.087,null,null
